sudo ip link set can0 type can bitrate 250000
sudo ip link set can0 up
ros2 launch robotcan_gui robotcan_gui.launch.py
ros2 run robotcan gps_10_move --ros-args -p navpvt_topic:=/robot_gps_node/navpvt -p stop_radius_m:=2. -p steering_kp:=0.8 -p max_steering_deg:=10. -p target_distance_m:=10.





[INFO] [1786443923.723566326] [gps_10m_move_node]: Move: travelled=1.87 m, remaining=8.14 m, direction=F, steering=0 deg
[INFO] [1786443924.923493062] [gps_10m_move_node]: Move: travelled=1.91 m, remaining=8.10 m, direction=F, steering=0 deg
[INFO] [1786443925.923609713] [gps_10m_move_node]: Move: travelled=1.94 m, remaining=8.06 m, direction=F, steering=0 deg
[INFO] [1786443927.123504917] [gps_10m_move_node]: Move: travelled=1.98 m, remaining=8.03 m, direction=F, steering=0 deg
[INFO] [1786443928.323461438] [gps_10m_move_node]: Move: travelled=2.05 m, remaining=7.96 m, direction=F, steering=0 deg
[INFO] [1786443929.523480226] [gps_10m_move_node]: Move: travelled=2.09 m, remaining=7.92 m, direction=F, steering=0 deg
[INFO] [1786443930.523513132] [gps_10m_move_node]: Move: travelled=2.12 m, remaining=7.88 m, direction=F, steering=0 deg
[INFO] [1786443931.723404621] [gps_10m_move_node]: Move: travelled=2.16 m, remaining=7.85 m, direction=F, steering=0 deg
[INFO] [1786443932.723442149] [gps_10m_move_node]: Move: travelled=2.18 m, remaining=7.82 m, direction=F, steering=0 deg
[INFO] [1786443933.723481192] [gps_10m_move_node]: Move: travelled=2.22 m, remaining=7.78 m, direction=F, steering=0 deg
[INFO] [1786443934.723547733] [gps_10m_move_node]: Move: travelled=2.26 m, remaining=7.75 m, direction=F, steering=0 deg
[INFO] [1786443935.723755339] [gps_10m_move_node]: Move: travelled=2.28 m, remaining=7.72 m, direction=F, steering=0 deg
[INFO] [1786443936.923329917] [gps_10m_move_node]: Move: travelled=2.31 m, remaining=7.70 m, direction=F, steering=0 deg
[INFO] [1786443937.923498328] [gps_10m_move_node]: Move: travelled=2.35 m, remaining=7.66 m, direction=F, steering=0 deg
[INFO] [1786443939.123543553] [gps_10m_move_node]: Move: travelled=2.38 m, remaining=7.63 m, direction=F, steering=0 deg
[INFO] [1786443940.328516693] [gps_10m_move_node]: Move: travelled=2.43 m, remaining=7.57 m, direction=F, steering=0 deg
[INFO] [1786443941.523507310] [gps_10m_move_node]: Move: travelled=2.46 m, remaining=7.54 m, direction=F, steering=0 deg
